sample_id,tree_id,page,subset,raw_image,pdf_text,ground_truth,vcot_full,vcot_ablation_color,vcot_ablation_anchor
J10.6,J10.6,1,image_text,dataset/raw_images/J10.6.png,dataset/pdf_texts/J10.6.pdf,dataset/ground_truth/J10.6.dsl,dataset/vcot_full/J10.6_after.png,dataset/vcot_ablation_color/J10.6_color.png,dataset/vcot_ablation_anchor/J10.6_anchor.png
J14.0_1,J14.0,1,image_text,dataset/raw_images/J14.0_1.png,dataset/pdf_texts/J14.0.pdf,dataset/ground_truth/J14.0.dsl,dataset/vcot_full/J14.0_1_after.png,dataset/vcot_ablation_color/J14.0_1_color.png,dataset/vcot_ablation_anchor/J14.0_1_anchor.png
J14.0_2,J14.0,2,image_text,dataset/raw_images/J14.0_2.png,dataset/pdf_texts/J14.0.pdf,dataset/ground_truth/J14.0.dsl,dataset/vcot_full/J14.0_2_after.png,dataset/vcot_ablation_color/J14.0_2_color.png,dataset/vcot_ablation_anchor/J14.0_2_anchor.png
J3.0_1,J3.0,1,image_text,dataset/raw_images/J3.0_1.png,dataset/pdf_texts/J3.0.pdf,dataset/ground_truth/J3.0.dsl,dataset/vcot_full/J3.0_1_after.png,dataset/vcot_ablation_color/J3.0_1_color.png,dataset/vcot_ablation_anchor/J3.0_1_anchor.png
J3.0_2,J3.0,2,image_text,dataset/raw_images/J3.0_2.png,dataset/pdf_texts/J3.0.pdf,dataset/ground_truth/J3.0.dsl,dataset/vcot_full/J3.0_2_after.png,dataset/vcot_ablation_color/J3.0_2_color.png,dataset/vcot_ablation_anchor/J3.0_2_anchor.png
J3.0_3,J3.0,3,image_text,dataset/raw_images/J3.0_3.png,dataset/pdf_texts/J3.0.pdf,dataset/ground_truth/J3.0.dsl,dataset/vcot_full/J3.0_3_after.png,dataset/vcot_ablation_color/J3.0_3_color.png,dataset/vcot_ablation_anchor/J3.0_3_anchor.png
J3.0_4,J3.0,4,image_text,dataset/raw_images/J3.0_4.png,dataset/pdf_texts/J3.0.pdf,dataset/ground_truth/J3.0.dsl,dataset/vcot_full/J3.0_4_after.png,dataset/vcot_ablation_color/J3.0_4_color.png,dataset/vcot_ablation_anchor/J3.0_4_anchor.png
J3.1,J3.1,1,image_text,dataset/raw_images/J3.1.png,dataset/pdf_texts/J3.1.pdf,dataset/ground_truth/J3.1.dsl,dataset/vcot_full/J3.1_after.png,dataset/vcot_ablation_color/J3.1_color.png,dataset/vcot_ablation_anchor/J3.1_anchor.png
J5.4_1,J5.4,1,image_text,dataset/raw_images/J5.4_1.png,dataset/pdf_texts/J5.4.pdf,dataset/ground_truth/J5.4.dsl,dataset/vcot_full/J5.4_1_after.png,dataset/vcot_ablation_color/J5.4_1_color.png,dataset/vcot_ablation_anchor/J5.4_1_anchor.png
J5.4_2,J5.4,2,image_text,dataset/raw_images/J5.4_2.png,dataset/pdf_texts/J5.4.pdf,dataset/ground_truth/J5.4.dsl,dataset/vcot_full/J5.4_2_after.png,dataset/vcot_ablation_color/J5.4_2_color.png,dataset/vcot_ablation_anchor/J5.4_2_anchor.png
J7.0,J7.0,1,image_text,dataset/raw_images/J7.0.png,dataset/pdf_texts/J7.0.pdf,dataset/ground_truth/J7.0.dsl,dataset/vcot_full/J7.0_after.png,dataset/vcot_ablation_color/J7.0_color.png,dataset/vcot_ablation_anchor/J7.0_anchor.png
M1,M1,1,image_text,dataset/raw_images/M1.png,dataset/pdf_texts/M1.pdf,dataset/ground_truth/M1.dsl,dataset/vcot_full/M1_after.png,dataset/vcot_ablation_color/M1_color.png,dataset/vcot_ablation_anchor/M1_anchor.png
M14,M14,1,image_text,dataset/raw_images/M14.png,dataset/pdf_texts/M14.pdf,dataset/ground_truth/M14.dsl,dataset/vcot_full/M14_after.png,dataset/vcot_ablation_color/M14_color.png,dataset/vcot_ablation_anchor/M14_anchor.png
M4D,M4D,1,image_text,dataset/raw_images/M4D.png,dataset/pdf_texts/M4D.pdf,dataset/ground_truth/M4D.dsl,dataset/vcot_full/M4D_after.png,dataset/vcot_ablation_color/M4D_color.png,dataset/vcot_ablation_anchor/M4D_anchor.png
M6D_1,M6D,1,image_text,dataset/raw_images/M6D_1.png,dataset/pdf_texts/M6D.pdf,dataset/ground_truth/M6D.dsl,dataset/vcot_full/M6D_1_after.png,dataset/vcot_ablation_color/M6D_1_color.png,dataset/vcot_ablation_anchor/M6D_1_anchor.png
M6D_2,M6D,2,image_text,dataset/raw_images/M6D_2.png,dataset/pdf_texts/M6D.pdf,dataset/ground_truth/M6D.dsl,dataset/vcot_full/M6D_2_after.png,dataset/vcot_ablation_color/M6D_2_color.png,dataset/vcot_ablation_anchor/M6D_2_anchor.png
M9A_1,M9A,1,image_text,dataset/raw_images/M9A_1.png,dataset/pdf_texts/M9A.pdf,dataset/ground_truth/M9A.dsl,dataset/vcot_full/M9A_1_after.png,dataset/vcot_ablation_color/M9A_1_color.png,dataset/vcot_ablation_anchor/M9A_1_anchor.png
M9A_2,M9A,2,image_text,dataset/raw_images/M9A_2.png,dataset/pdf_texts/M9A.pdf,dataset/ground_truth/M9A.dsl,dataset/vcot_full/M9A_2_after.png,dataset/vcot_ablation_color/M9A_2_color.png,dataset/vcot_ablation_anchor/M9A_2_anchor.png
M9A_3,M9A,3,image_text,dataset/raw_images/M9A_3.png,dataset/pdf_texts/M9A.pdf,dataset/ground_truth/M9A.dsl,dataset/vcot_full/M9A_3_after.png,dataset/vcot_ablation_color/M9A_3_color.png,dataset/vcot_ablation_anchor/M9A_3_anchor.png
